R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
144,Josh Richardson ,"SG,SF",DAL,8,32.5,0.411(4.9/11.9),0.939(2.0/2.1),2,13.8,2.9,1.6,0.9,0.3,1.3,-0.75
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
145,Darius Bazley,"SF,PF",OKL,12,29.7,0.373(3.9/10.5),0.842(1.3/1.6),1.3,10.4,7.6,1.5,0.6,1,1.8,-0.81
146,Al Horford ,"PF,C",OKL,9,27.2,0.419(4.6/10.9),0.500(0.2/0.4),1.8,11.1,7,2.4,0.3,0.7,0.9,-0.83
147,Thaddeus Young,PF,CHI,9,23.3,0.595(4.6/7.7),0.639(0.8/1.2),0.3,10.2,3.8,3,0.9,0.4,2.3,-0.88
148,Rudy Gay,"SF,PF",SAS,13,22.6,0.420(4.2/10.1),0.713(0.8/1.1),1.5,10.7,5.4,1.5,0.8,0.8,1,-0.9
149,De'Anthony Melton,"PG,SG",MEM,7,19.9,0.463(3.6/7.7),0.483(0.1/0.3),0.9,8.1,2.3,2.4,1.3,0.9,1.4,-0.96
150,Garrett Temple,"PG,SG",CHI,12,26.3,0.494(3.5/7.1),0.769(0.8/1.1),1.8,9.7,2.6,1.9,1,0.3,1.1,-0.96
151,Naz Reid,C,MIN,11,19.9,0.543(4.0/7.4),0.714(1.8/2.6),1,10.8,4.3,1.2,0.4,1,1.5,-0.98
152,Cody Zeller ,C,CHA,1,20,0.500(3.0/6.0),0.000(0.0/1.0),0,6,3,0,3,1,1,-1.1
153,RJ Barrett,"SG,SF",NYK,14,37,0.388(6.1/15.6),0.738(3.6/4.9),1,16.8,7.4,3.4,0.9,0.3,1.9,-1.1
154,Monte Morris,"PG,SG",DEN,13,26.4,0.514(4.2/8.2),0.682(1.3/1.9),1.2,11,2.1,3.1,0.9,0.3,0.4,-1.11
155,Delon Wright,"SG,SF",DET,12,26.2,0.382(2.6/6.8),0.870(1.7/1.9),0.8,7.6,3.7,4.3,0.7,0.7,1,-1.15
156,Ben McLemore,"SG,SF",HOU,5,21.7,0.463(3.8/8.2),0.750(0.6/0.8),3,11.2,2.6,1.8,0.8,0,1.8,-1.15
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
